[04-12-2025][02.42.40] New Synch Log File Created!
[04-12-2025][06.01.06] Log file reloaded ( Server Restart )
[04-12-2025][10.00.58] Log file reloaded ( Server Restart )
[04-12-2025][14.00.57] Log file reloaded ( Server Restart )
[04-12-2025][18.01.02] Log file reloaded ( Server Restart )
[20:25:51] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2946.717529, 248.718185, 467.107147>) requested data for lock!
[20:26:03] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2948.041748, 248.718185, 466.635284>) requested data for lock!
[20:26:22] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2952.335205, 248.718658, 467.702576>) requested data for lock!
[20:27:40] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2952.747803, 248.718658, 468.739838>) requested data for lock!
[20:27:54] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2951.933350, 248.788956, 469.862366>) requested data for lock!
[20:28:05] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2950.989502, 248.757996, 469.959625>) requested data for lock!
[20:28:21] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2946.034668, 248.718185, 468.982849>) requested data for lock!
[20:43:02] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2951.933350, 248.788956, 469.862366>) requested data for lock!
[20:43:02] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2946.034668, 248.718185, 468.982849>) requested data for lock!
[20:43:02] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2950.989502, 248.757996, 469.959625>) requested data for lock!
[20:43:02] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2952.747803, 248.718658, 468.739838>) requested data for lock!
[20:43:02] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2952.335205, 248.718658, 467.702576>) requested data for lock!
[20:43:02] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2948.041748, 248.718185, 466.635284>) requested data for lock!
[20:43:02] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2946.717529, 248.718185, 467.107147>) requested data for lock!
[04-12-2025][21.01.03] Log file reloaded ( Server Restart )
[21:01:39] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2950.989502, 248.757996, 469.959625>) requested data for lock!
[21:01:39] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2948.041748, 248.718185, 466.635284>) requested data for lock!
[21:01:39] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2952.747803, 248.718658, 468.739838>) requested data for lock!
[21:01:39] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2952.335205, 248.718658, 467.702576>) requested data for lock!
[21:01:39] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2946.034668, 248.718185, 468.982849>) requested data for lock!
[21:01:39] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2946.717529, 248.718185, 467.107147>) requested data for lock!
[21:01:39] Player (SUS-Alpha-Goin'Dark, 76561198352827856)(<2951.933350, 248.788956, 469.862366>) requested data for lock!
[04-12-2025][22.13.30] Log file reloaded ( Server Restart )
