[COT 2025-04-12 20:16:27] 76561198352827856: Activated Community Online Tools [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:16:32] 76561198352827856: Set GodMode To true [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:16:33] 76561198352827856: Set Invisibility To 1 [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:16:33] 76561198352827856: Set cannot be targeted by AI to true [guid=m_TD03B4NXDQrU5koHpLq3WyQf1hXTvQSdETJOTM8ss=]
[COT 2025-04-12 20:16:41] 76561198352827856: Teleported 76561198352827856 to position <2163.216309, 221.071640, 568.889160>
[COT 2025-04-12 20:21:06] 76561198352827856: Spawned Entity Fire Barrel (BarrelHoles_Yellow<97603000>, 100, 900, 15, 0) at <2946.165283, 248.718185, 468.204102>
[COT 2025-04-12 20:22:07] 76561198352827856: Spawned Entity MMG Army Box Medic (mmg_army_box_medic_grey<7f96ddf0>, 100, 5000, 15, 0) at <2947.160156, 248.718140, 467.635345>
[COT 2025-04-12 20:22:10] 76561198352827856: Spawned Entity MMG Army Box Green (mmg_army_box_base<7f972350>, 100, 5000, 15, 0) at <2947.160156, 248.718140, 467.635345>
[COT 2025-04-12 20:22:10] 76561198352827856: Spawned Entity MMG Army Box Green (mmg_army_box_base<7f96e980>, 100, 5000, 15, 0) at <2947.160156, 248.718140, 467.635345>
[COT 2025-04-12 20:22:44] 76561198352827856: Spawned Entity MMG Military Case Green (mmg_military_case_base<a2ffc830>, 150, 6500, 15, 0) at <2947.160156, 248.718140, 467.635345>
[COT 2025-04-12 20:23:19] 76561198352827856: Deleted Entity mmg_military_case_green:15279 at <2946.262939, 248.718185, 470.430664>
[COT 2025-04-12 20:24:53] 76561198352827856: Spawned Entity M79 (M79<b1c57120>, 100, 200, 15, 0) at <2948.844727, 248.718185, 469.095428>
[COT 2025-04-12 20:25:34] 76561198352827856: Spawned Entity CodeLock (CodeLock<53393450>, 100, 1500, 15, 0) at <2948.040039, 248.718185, 468.640259>
[COT 2025-04-12 20:25:34] 76561198352827856: Spawned Entity CodeLock (CodeLock<533911a0>, 100, 1500, 15, 0) at <2948.040039, 248.718185, 468.640259>
[COT 2025-04-12 20:25:35] 76561198352827856: Spawned Entity CodeLock (CodeLock<5338e360>, 100, 1500, 15, 0) at <2948.040039, 248.718185, 468.640259>
[COT 2025-04-12 20:25:35] 76561198352827856: Spawned Entity CodeLock (CodeLock<53398540>, 100, 1500, 15, 0) at <2948.040039, 248.718185, 468.640259>
[COT 2025-04-12 20:25:36] 76561198352827856: Spawned Entity CodeLock (CodeLock<53395700>, 100, 1500, 15, 0) at <2948.040039, 248.718185, 468.640259>
[COT 2025-04-12 20:25:36] 76561198352827856: Spawned Entity CodeLock (CodeLock<5339e1c0>, 100, 1500, 15, 0) at <2948.040039, 248.718185, 468.640259>
[COT 2025-04-12 20:27:30] 76561198352827856: Spawned Entity CodeLock (CodeLock<a00f7f60>, 100, 1500, 15, 0) at <2948.773926, 248.718185, 469.003967>
[COT 2025-04-12 20:27:30] 76561198352827856: Spawned Entity CodeLock (CodeLock<a00ffe90>, 100, 1500, 15, 0) at <2948.773926, 248.718185, 469.003967>
[COT 2025-04-12 20:27:31] 76561198352827856: Spawned Entity CodeLock (CodeLock<a0100a20>, 100, 1500, 15, 0) at <2948.773926, 248.718185, 469.003967>
[COT 2025-04-12 20:28:53] 76561198352827856: Spawned Entity MMG Toolwagon Kit (mmg_toolwagon_kit<4bd29b20>, 100, 1000, 15, 0) at <2948.369141, 248.718185, 468.657501>
[COT 2025-04-12 20:29:31] 76561198352827856: Spawned Entity Firefighter Axe (FirefighterAxe<4ddca000>, 100, 250, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:29:31] 76561198352827856: Spawned Entity Firefighter Axe (FirefighterAxe<4ddd3650>, 100, 250, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:29:32] 76561198352827856: Spawned Entity Firefighter Axe (FirefighterAxe<4ddcd9d0>, 100, 250, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:29:38] 76561198352827856: Spawned Entity Hatchet (Hatchet<4ddd4d70>, 100, 150, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:29:38] 76561198352827856: Spawned Entity Hatchet (Hatchet<4ddce560>, 100, 150, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:29:57] 76561198352827856: Spawned Entity Screwdriver (Screwdriver<4dda7500>, 100, 100, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:29:57] 76561198352827856: Spawned Entity Screwdriver (Screwdriver<4dda5de0>, 100, 100, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:30:07] 76561198352827856: Spawned Entity Pliers (Pliers<a50a5fc0>, 100, 100, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:30:08] 76561198352827856: Spawned Entity Pliers (Pliers<a50a6b50>, 100, 100, 15, 0) at <2948.121338, 248.718079, 469.794708>
[COT 2025-04-12 20:30:46] 76561198352827856: Spawned Entity 1-M8 Smoke Grenade (Expansion_M18SmokeGrenade_Teargas<e28375b0>, 1, 20, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:30:46] 76561198352827856: Spawned Entity 1-M8 Smoke Grenade (Expansion_M18SmokeGrenade_Teargas<e2838ed0>, 1, 20, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:30:46] 76561198352827856: Spawned Entity 1-M8 Smoke Grenade (Expansion_M18SmokeGrenade_Teargas<e283f350>, 1, 20, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:30:47] 76561198352827856: Spawned Entity 1-M8 Smoke Grenade (Expansion_M18SmokeGrenade_Teargas<e2843eb0>, 1, 20, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:30:47] 76561198352827856: Spawned Entity 1-M8 Smoke Grenade (Expansion_M18SmokeGrenade_Teargas<e283ffe0>, 1, 20, 15, 0) at <2947.480957, 248.718185, 470.512085>
[COT 2025-04-12 20:30:47] 76561198352827856: Spawned Entity 1-M8 Smoke Grenade (Expansion_M18SmokeGrenade_Teargas<e2844b40>, 1, 20, 15, 0) at <2947.480957, 248.718185, 470.512085>
