07:06:16.515 [MissionAirdrop] An airdrop is heading towards "Erie" (pos=<723.437744, 0.000000, 8062.600098> type=Random_Erie) with a ExpansionAirdropContainer_Basebuilding
07:16:22.675 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=4A9C979EAD45D10DC85CC19D84E00CAD pos=<2123.71, 179.86, 8393.89>) as driver
07:24:20.652 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=4A9C979EAD45D10DC85CC19D84E00CAD pos=<679.87, 151.55, 7963.57>)
07:27:27.685 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=4A9C979EAD45D10DC85CC19D84E00CAD pos=<679.86, 151.55, 7963.57>) as driver
07:28:00.319 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=4A9C979EAD45D10DC85CC19D84E00CAD pos=<585.51, 179.02, 8063.21>)
07:33:15.995 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=4A9C979EAD45D10DC85CC19D84E00CAD pos=<585.51, 179.02, 8063.21>) as driver
07:33:23.067 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=4A9C979EAD45D10DC85CC19D84E00CAD pos=<584.24, 179.11, 8066.03>)
07:34:25.448 [VehicleDeleted] Old_Bike (id=4A9C979EAD45D10DC85CC19D84E00CAD pos=<584.24, 179.11, 8066.03>)
07:34:32.616 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=B5AEE2D88F4825A11F6033B8AD62B732 pos=<585.37, 178.83, 8066.34>) as driver
07:34:56.222 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=B5AEE2D88F4825A11F6033B8AD62B732 pos=<722.82, 158.26, 8102.5>)
07:37:12.502 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=B5AEE2D88F4825A11F6033B8AD62B732 pos=<722.87, 158.26, 8102.51>) as driver
07:37:23.008 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=B5AEE2D88F4825A11F6033B8AD62B732 pos=<751.22, 157.88, 8110.04>)
07:47:58.596 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=B5AEE2D88F4825A11F6033B8AD62B732 pos=<751.22, 157.88, 8110.04>) as driver
07:48:32.049 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=B5AEE2D88F4825A11F6033B8AD62B732 pos=<580.43, 181.34, 8051.2>)
07:50:45.724 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=B5AEE2D88F4825A11F6033B8AD62B732 pos=<580.43, 181.34, 8051.2>) as driver
